timestamp,value,status
2026-02-03 20:23:43.075,0.79,Excellent
2026-02-03 20:23:48.075,0.79,Excellent
2026-02-03 20:23:53.060,0.8,Excellent
2026-02-03 20:23:58.068,0.8,Excellent
2026-02-03 20:24:03.084,0.8,Excellent
2026-02-03 20:24:29.986,0.77,Excellent
2026-02-03 20:24:32.132,0.77,Excellent
2026-02-03 20:24:38.080,0.75,Excellent
2026-02-03 20:24:43.082,0.75,Excellent
2026-02-03 20:24:48.082,0.75,Excellent
2026-02-03 20:24:53.058,0.77,Excellent
2026-02-03 20:24:58.056,0.77,Excellent
2026-02-03 20:25:03.065,0.77,Excellent
2026-02-03 20:25:08.068,0.78,Excellent
2026-02-03 20:25:13.110,0.78,Excellent
2026-02-03 20:25:13.246,0.78,Excellent
2026-02-03 20:25:16.589,0.78,Excellent
2026-02-03 20:25:22.056,0.8,Excellent
2026-02-03 20:25:27.076,0.8,Excellent
2026-02-03 20:25:32.085,0.8,Excellent
2026-02-03 20:25:37.054,0.8,Excellent
2026-02-03 20:25:42.053,0.8,Excellent
2026-02-03 20:25:47.070,0.8,Excellent
2026-02-03 20:25:52.049,0.81,Excellent
2026-02-03 20:25:57.060,0.81,Excellent
2026-02-03 20:26:01.562,0.81,Excellent
2026-02-03 20:26:06.574,0.79,Excellent
2026-02-03 20:26:11.595,0.79,Excellent
2026-02-03 20:26:14.030,0.79,Excellent
2026-02-03 20:26:18.783,0.79,Excellent
2026-02-03 20:26:23.793,0.79,Excellent
2026-02-03 20:26:28.809,0.79,Excellent
2026-02-03 20:26:33.824,0.79,Excellent
2026-02-03 20:26:38.793,0.84,Excellent
2026-02-03 20:26:43.805,0.84,Excellent
2026-02-03 20:26:48.796,0.84,Excellent
2026-02-03 20:26:53.786,0.79,Excellent
2026-02-03 20:26:59.360,0.79,Excellent
2026-02-03 20:27:04.089,0.79,Excellent
2026-02-03 20:27:09.063,0.8,Excellent
2026-02-03 20:27:14.084,0.8,Excellent
2026-02-03 20:27:18.801,0.8,Excellent
2026-02-03 20:27:24.070,0.78,Excellent
2026-02-03 20:27:29.059,0.78,Excellent
2026-02-03 20:27:34.065,0.78,Excellent
2026-02-03 20:27:39.097,0.76,Excellent
2026-02-03 20:27:44.052,0.76,Excellent
2026-02-03 20:27:49.068,0.76,Excellent
2026-02-03 20:27:54.078,0.57,Excellent
2026-02-03 20:27:59.071,0.57,Excellent
2026-02-03 20:28:04.081,0.57,Excellent
2026-02-03 20:28:09.070,0.55,Excellent
2026-02-03 20:28:14.089,0.55,Excellent
2026-02-03 20:28:19.054,0.55,Excellent
